uniqid,isocntry,d63,qb7_2,class,trusttradm,trustwebonly,trustallm,trustnom,polorient,mediatrust
360000303,SI,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
250000304,LV,3,1,MiddleClass,1,1,1,0,Center,TrustAll
250000305,LV,2,1,LowerMiddle,1,0,0,0,FarRight,TrustTrad
360000306,SI,1,1,WorkingClass,1,0,0,0,Left,TrustTrad
360000307,SI,2,1,LowerMiddle,0,0,0,1,Center,TrustNone
250000308,LV,3,1,MiddleClass,1,1,0,0,Right,TrustWebOnly
360000309,SI,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
150000310,FI,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
360000311,SI,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
360000312,SI,3,2,MiddleClass,1,1,1,0,FarLeft,TrustAll
250000313,LV,3,1,MiddleClass,0,1,0,0,Right,TrustWebOnly
360000314,SI,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
150000315,FI,1,1,WorkingClass,1,0,0,0,Left,TrustTrad
360000316,SI,3,1,MiddleClass,0,0,0,1,FarRight,TrustNone
360000317,SI,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
230000318,LT,3,2,MiddleClass,0,1,0,0,Left,TrustWebOnly
250000319,LV,4,1,UpperMiddleClass,0,0,0,1,Right,TrustNone
360000320,SI,3,1,MiddleClass,0,1,0,0,FarLeft,TrustWebOnly
250000321,LV,3,1,MiddleClass,1,1,1,0,Center,TrustAll
360000322,SI,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
250000323,LV,2,1,LowerMiddle,0,0,0,1,Center,TrustNone
370000324,SK,3,1,MiddleClass,0,0,0,1,FarRight,TrustNone
230000325,LT,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
230000326,LT,2,2,LowerMiddle,1,0,0,0,Center,TrustTrad
230000327,LT,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
230000328,LT,3,1,MiddleClass,1,1,0,0,FarLeft,TrustWebOnly
250000329,LV,1,1,WorkingClass,0,0,0,1,Center,TrustNone
230000330,LT,3,1,MiddleClass,1,1,1,0,Center,TrustAll
250000331,LV,2,2,LowerMiddle,1,1,1,0,Right,TrustAll
250000332,LV,1,2,WorkingClass,1,0,0,0,Right,TrustTrad
360000333,SI,1,1,WorkingClass,1,1,1,0,FarRight,TrustAll
360000334,SI,4,1,UpperMiddleClass,0,0,0,1,Center,TrustNone
230000335,LT,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
250000336,LV,2,1,LowerMiddle,0,0,0,1,Center,TrustNone
250000337,LV,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360000338,SI,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
150000339,FI,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
230000340,LT,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
250000341,LV,2,1,LowerMiddle,1,1,0,0,Left,TrustWebOnly
230000342,LT,4,2,UpperMiddleClass,1,1,1,0,Right,TrustAll
360000343,SI,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
360000344,SI,1,1,WorkingClass,0,1,0,0,Center,TrustWebOnly
250000345,LV,1,2,WorkingClass,0,1,0,0,FarLeft,TrustWebOnly
230000346,LT,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
250000347,LV,5,1,UpperClass,1,1,1,0,Right,TrustAll
360000348,SI,3,1,MiddleClass,0,0,0,0,Left,Other
250000349,LV,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
250000350,LV,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
250000351,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000352,SI,3,1,MiddleClass,0,0,0,1,Center,TrustNone
360000353,SI,3,2,MiddleClass,1,1,0,0,Center,TrustWebOnly
360000354,SI,1,2,WorkingClass,1,0,0,0,Center,TrustTrad
250000355,LV,4,1,UpperMiddleClass,0,0,0,1,Left,TrustNone
250000356,LV,3,1,MiddleClass,1,1,1,0,Center,TrustAll
360000357,SI,1,1,WorkingClass,1,1,1,0,Center,TrustAll
250000358,LV,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
250000359,LV,3,1,MiddleClass,1,0,0,0,FarRight,TrustTrad
250000360,LV,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
360000361,SI,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
250000362,LV,2,2,LowerMiddle,1,0,0,0,Center,TrustTrad
360000363,SI,1,2,WorkingClass,1,0,0,0,Left,TrustTrad
360000364,SI,1,1,WorkingClass,0,0,0,1,Refused/DNt,TrustNone
250000365,LV,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
250000366,LV,3,1,MiddleClass,0,0,0,1,FarRight,TrustNone
250000367,LV,2,2,LowerMiddle,1,1,0,0,Left,TrustWebOnly
360000368,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
360000369,SI,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
360000370,SI,3,1,MiddleClass,0,0,0,1,FarLeft,TrustNone
360000371,SI,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
250000372,LV,1,1,WorkingClass,0,0,0,1,FarLeft,TrustNone
230000373,LT,3,1,MiddleClass,1,1,0,0,Refused/DNt,TrustWebOnly
