,uniqid,d63,class,polorient,mediatrust,trustnom,trustallm,trustwebonly,trusttradm,qa6a_1,qa6a_2,qa6a_5,qa6a_3,qa6at,qa6a_4,d63,d15a,d1r2,d1,d11r1,d10,d1r1,d15a_r1,d11,d11r2,d15a_r2
28,245427537,3,WorkingClass,Right,TrustTrad,0,0,0,1,2,2,2,2,1,1,3,4,4,6,4,1,3,3,70,4,1
29,327157201,1,UpperClass,Center,TrustAll,0,0,0,1,1,1,2,1,2,1,1,0,4,1,4,2,2,2,94,1,7
30,183986315,2,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,2,1,1,1,2,6,1,3,2,2,1,1,73,6,8
31,15396440,3,WorkingClass,FarLeft,TrustTrad,0,0,0,1,2,1,2,1,1,1,3,9,5,9,3,1,3,3,28,5,7
32,128862557,3,UpperMiddleClass,Center,TrustTrad,0,0,0,1,1,2,1,1,2,1,3,1,2,4,1,1,3,2,30,1,8
33,426375695,3,MiddleClass,Left,TrustNone,0,0,0,1,3,1,1,1,1,1,3,4,2,4,1,1,2,3,93,6,8
34,63587109,3,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,3,2,3,2,1,1,2,59,2,8
35,270645121,3,LowerMiddle,Center,TrustTrad,0,0,0,1,1,2,1,2,3,2,3,14,9,4,3,1,2,1,50,6,8
36,274177675,3,UpperMiddleClass,Center,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,2,2,2,3,1,2,1,26,3,4
37,134724161,1,WorkingClass,Center,TrustNone,0,0,0,0,2,2,2,2,3,3,1,14,9,98,3,1,1,3,77,5,1
38,155998904,2,LowerMiddle,Left,TrustTrad,0,0,0,1,2,2,2,2,2,3,2,1,3,5,4,1,2,3,61,2,6
39,472847990,1,WorkingClass,Refused/DNt,TrustNone,0,0,0,0,2,3,1,1,3,1,1,11,3,3,3,1,3,3,62,4,5
40,275757257,1,LowerMiddle,Right,TrustTrad,0,0,0,0,2,2,2,2,2,2,1,8,2,6,1,1,9,3,12,4,4
41,97767609,3,LowerMiddle,Left,TrustNone,0,0,0,1,1,1,1,1,3,2,3,5,5,2,3,1,1,1,49,4,7
42,316982492,3,LowerMiddle,Left,TrustAll,0,0,0,1,2,1,3,1,2,2,3,0,9,4,3,1,1,2,97,3,5
43,242930759,3,WorkingClass,Center,TrustNone,1,0,0,1,3,2,1,2,3,1,3,12,2,9,4,2,9,3,58,5,7
44,471459047,3,MiddleClass,Refused/DNt,TrustWebOnly,0,0,0,1,1,3,1,1,2,1,3,4,2,6,3,1,3,2,20,2,2
45,344231225,1,MiddleClass,Center,TrustNone,0,0,0,1,2,2,3,3,2,3,1,1,3,5,3,1,2,3,90,6,6
46,382553476,3,WorkingClass,Left,TrustNone,0,0,0,0,2,2,2,1,3,1,3,12,5,6,2,2,3,3,78,3,5
47,93691254,3,WorkingClass,Center,TrustTrad,0,0,0,1,1,2,2,3,1,2,3,0,3,2,4,1,2,3,42,6,3
48,118994998,3,MiddleClass,Center,TrustAll,0,0,0,0,2,3,2,2,2,1,3,16,1,10,2,2,3,3,62,3,4
49,277584110,3,UpperClass,Center,TrustNone,1,0,0,0,2,2,2,2,3,2,3,16,5,98,3,1,9,3,97,5,4
50,413994039,2,LowerMiddle,Left,TrustAll,0,0,0,1,2,2,1,1,2,2,2,3,4,9,2,2,3,2,83,4,6
51,206611472,1,WorkingClass,Center,TrustNone,0,0,0,0,2,2,1,2,3,3,1,13,9,2,4,1,9,3,100,3,4
52,117682660,3,UpperClass,Center,TrustAll,0,0,0,1,2,1,1,1,2,1,3,14,9,2,3,1,1,1,71,5,3
53,316833074,2,MiddleClass,Left,TrustAll,0,0,0,1,1,1,1,1,2,2,2,0,4,3,4,1,3,2,28,5,2
54,386188332,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,6,2,6,3,1,2,2,58,2,1
55,434172213,3,MiddleClass,Right,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,0,3,6,2,1,2,3,46,5,8
56,403829362,3,LowerMiddle,Center,TrustNone,0,0,0,1,1,1,2,1,2,1,3,15,4,1,1,1,3,3,48,4,2
57,409922414,1,MiddleClass,Refused/DNt,Other,1,0,0,0,2,3,3,2,3,3,1,17,9,97,4,2,3,2,92,2,7
58,326243470,3,LowerMiddle,Left,TrustNone,0,0,0,1,1,1,2,1,1,1,3,5,2,6,2,2,2,2,74,5,8
59,281368552,3,WorkingClass,Left,TrustAll,0,0,0,1,1,2,2,2,2,2,3,17,3,7,3,1,3,2,31,2,5
60,70106978,1,LowerMiddle,Left,TrustTrad,0,0,0,1,2,2,1,1,2,1,1,2,4,3,3,1,9,3,51,4,8
61,301201389,2,MiddleClass,Left,TrustNone,1,0,0,1,2,2,2,3,2,1,2,4,4,3,4,1,2,2,100,5,5
62,432498115,1,MiddleClass,Right,TrustTrad,0,0,0,1,1,1,2,1,2,1,1,5,4,5,4,2,3,2,53,6,7
63,468809626,1,MiddleClass,Left,TrustTrad,0,0,0,0,2,2,2,1,2,2,1,0,1,2,3,1,1,2,68,5,4
64,446846239,1,WorkingClass,Right,Other,0,0,0,1,2,2,1,1,3,1,1,17,3,5,2,2,2,1,72,5,6
65,278350259,1,WorkingClass,Refused/DNt,TrustNone,1,0,0,0,2,2,2,3,3,3,1,4,9,98,4,2,9,3,102,4,4
66,7666752,3,LowerMiddle,Right,TrustAll,0,0,0,1,1,2,2,2,2,1,3,0,2,4,2,2,3,2,50,1,5
67,456922358,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,1,2,3,17,3,4,1,2,3,2,46,3,2
68,470606245,2,LowerMiddle,Refused/DNt,TrustNone,1,0,0,0,2,1,1,1,3,3,2,0,3,98,4,1,2,3,63,6,4
69,336526545,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,3,2,1,2,2,3,12,1,5,1,1,2,2,54,5,4
70,101451136,3,WorkingClass,FarRight,TrustTrad,1,0,0,1,1,1,2,1,2,1,3,1,3,3,4,1,1,3,92,3,8
71,-1558673,3,UpperMiddleClass,FarRight,TrustNone,0,0,0,1,1,2,2,1,2,2,3,16,2,3,2,1,3,3,35,5,2
72,458666768,3,WorkingClass,Left,TrustTrad,0,0,0,0,2,1,2,1,1,1,3,9,2,5,4,2,3,2,60,2,7
73,263360938,3,MiddleClass,Right,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,17,4,9,2,1,3,2,29,3,8
74,375297546,3,WorkingClass,Left,TrustNone,0,0,0,1,2,3,2,1,3,1,3,0,1,10,3,1,1,2,58,1,4
75,258566030,3,MiddleClass,FarRight,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,7,2,8,2,1,3,1,35,5,8
76,245715754,3,UpperMiddleClass,Left,TrustWebOnly,0,0,0,1,1,1,2,1,1,2,3,8,2,6,1,1,1,2,81,3,1
77,230546754,3,WorkingClass,Center,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,4,4,6,2,1,1,3,93,2,3
78,451994494,1,LowerMiddle,Left,TrustTrad,0,0,0,0,2,2,1,1,2,1,1,0,2,8,3,1,2,3,79,5,7
79,394314849,1,WorkingClass,Center,TrustAll,1,0,0,1,1,1,3,2,1,1,1,0,3,5,3,1,1,3,78,2,6
80,376026167,3,LowerMiddle,Refused/DNt,TrustAll,0,0,0,1,1,3,2,2,3,1,3,15,2,4,2,1,3,2,92,1,1
81,465929549,4,MiddleClass,Right,TrustAll,1,0,0,1,1,1,2,1,1,1,4,4,2,3,2,1,3,3,21,3,7
82,271740796,3,LowerMiddle,Right,TrustAll,1,0,0,1,1,2,1,1,2,3,3,11,2,3,3,1,1,2,82,5,1
83,483103764,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,2,1,2,2,2,1,3,0,2,3,2,2,3,2,36,4,2
84,313106428,2,MiddleClass,Left,TrustNone,1,0,0,0,2,2,3,1,3,2,2,5,3,98,2,1,2,2,89,3,4
85,123851220,1,WorkingClass,Center,TrustNone,0,0,0,0,2,2,2,2,3,2,1,4,9,2,3,1,9,3,24,6,4
86,243948107,3,WorkingClass,Left,TrustAll,0,0,0,1,1,2,1,1,2,2,3,10,2,4,2,1,3,2,34,5,1
87,184223285,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,2,2,2,2,2,1,3,16,2,4,2,2,2,2,31,1,4
88,294128327,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,2,3,2,2,1,3,1,3,2,17,5,8
89,24399911,1,WorkingClass,Right,TrustAll,1,0,0,0,2,2,2,2,3,1,1,4,9,5,2,1,3,2,36,6,7
90,304402114,2,UpperClass,FarRight,TrustAll,0,0,0,1,1,2,1,1,3,1,2,13,5,10,4,1,3,1,42,4,7
91,112690943,3,UpperMiddleClass,Left,TrustTrad,1,0,0,1,1,1,1,1,2,1,3,12,1,3,2,2,1,2,40,1,2
92,439398791,9,MiddleClass,FarLeft,TrustWebOnly,0,0,0,1,2,2,1,1,2,3,9,15,3,3,3,1,3,3,57,2,7
93,196224724,3,WorkingClass,Center,TrustAll,0,0,0,1,1,3,2,1,2,2,3,0,2,5,4,1,3,2,30,1,7
94,271542477,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,2,1,2,1,2,3,5,3,4,2,1,1,2,38,4,8
95,310855371,3,UpperClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,19,2,8,1,1,2,3,14,4,2
96,472445782,3,WorkingClass,Left,TrustTrad,0,0,0,0,1,1,1,1,2,2,3,5,2,8,4,1,1,2,32,5,3
97,414153870,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,15,2,4,3,1,1,2,19,5,8
98,234408415,3,WorkingClass,FarLeft,TrustTrad,0,0,0,0,2,1,1,2,3,2,3,1,4,9,4,2,1,2,74,6,7
99,338863060,3,LowerMiddle,Left,TrustTrad,0,0,0,1,1,2,1,1,2,1,3,0,9,4,3,1,1,2,36,4,8
100,349358030,2,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,1,1,2,0,2,4,3,1,3,3,71,3,4
101,52402285,1,WorkingClass,Center,TrustNone,0,0,0,0,3,2,2,2,3,1,1,4,9,98,4,1,2,2,58,2,7
102,350548519,3,MiddleClass,Left,TrustTrad,0,0,0,1,2,1,2,1,2,2,3,11,2,7,2,1,2,3,35,2,4
103,253174438,3,MiddleClass,Right,TrustAll,0,0,0,0,2,2,1,2,1,1,3,18,3,5,3,1,3,2,38,5,7
104,85723085,1,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,1,14,4,6,4,1,1,2,32,5,2
105,130026567,1,WorkingClass,Left,TrustNone,0,0,0,0,3,2,1,1,3,2,1,11,2,6,3,1,3,2,67,4,6
106,175816931,1,WorkingClass,Left,TrustNone,0,0,0,1,3,2,1,2,2,1,1,16,3,7,3,1,1,3,23,5,7
107,89333073,3,MiddleClass,Right,TrustWebOnly,0,0,0,0,1,2,2,1,2,2,3,0,3,5,1,2,3,3,86,5,6
108,276817540,3,WorkingClass,Left,TrustTrad,0,0,0,1,2,1,2,1,1,1,3,0,2,6,3,1,1,2,27,1,3
109,248036323,3,MiddleClass,Right,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,16,3,4,3,1,3,2,37,2,1
110,307763265,1,MiddleClass,FarRight,TrustTrad,0,0,0,1,3,2,2,1,2,2,1,5,9,5,2,1,2,2,61,5,2
111,204480775,3,MiddleClass,Left,TrustNone,0,0,0,1,1,1,2,1,2,2,3,8,2,10,1,2,3,1,64,3,1
112,264272070,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,12,2,3,2,1,3,2,37,4,4
113,418121935,3,UpperMiddleClass,Right,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,2,2,6,1,1,3,2,52,1,1
114,354549842,3,UpperMiddleClass,Right,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,0,2,8,3,1,2,2,55,1,8
115,422766828,1,WorkingClass,Refused/DNt,Other,1,0,0,0,2,2,3,2,3,3,1,11,3,3,4,1,3,3,70,4,6
116,357524196,3,WorkingClass,Left,TrustNone,0,0,0,0,2,2,2,2,3,1,3,0,2,9,2,1,9,3,91,5,8
117,262803025,1,MiddleClass,Center,Other,0,0,0,0,2,2,3,2,3,3,1,4,9,6,1,2,2,3,90,4,4
118,487305006,1,WorkingClass,FarLeft,TrustAll,0,0,0,1,1,2,1,2,1,2,1,0,3,10,4,1,2,3,79,6,4
119,330146340,3,LowerMiddle,Center,TrustTrad,0,0,0,1,2,1,1,1,1,1,3,13,2,6,2,1,2,2,78,5,3
120,450542365,1,WorkingClass,Center,TrustAll,0,0,0,1,3,2,2,2,3,2,1,3,4,8,4,1,2,3,55,6,7
121,197321177,1,WorkingClass,FarRight,TrustAll,1,0,0,1,3,2,1,2,3,1,1,9,9,10,1,1,3,3,62,6,7
122,220404691,3,MiddleClass,Center,TrustNone,0,0,1,0,1,2,2,2,2,1,3,0,3,2,2,2,1,2,75,5,7
123,365072902,2,MiddleClass,Left,TrustNone,0,0,0,1,3,2,1,2,2,2,2,0,3,5,3,1,1,3,95,2,7
124,185920722,3,UpperMiddleClass,FarRight,TrustAll,0,0,0,1,1,1,2,1,1,1,3,0,3,4,3,1,1,3,86,5,8
125,434071353,3,MiddleClass,Right,TrustNone,0,0,0,1,1,2,1,1,3,2,3,1,3,10,1,1,3,2,63,5,8
126,454034964,1,WorkingClass,Refused/DNt,Other,0,0,0,0,3,2,2,1,3,3,1,18,9,10,3,1,9,3,68,6,4
127,10766109,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,2,4,9,3,1,3,2,63,2,2
128,302604721,3,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,1,1,2,2,3,18,2,5,3,1,3,2,24,3,2
129,102238792,2,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,2,1,2,2,2,3,2,4,3,1,2,2,96,2,1
130,429363502,1,MiddleClass,Refused/DNt,TrustNone,0,0,0,1,3,2,2,3,2,2,1,4,5,3,4,1,3,2,34,4,7
131,124869854,3,LowerMiddle,FarRight,TrustNone,0,0,1,0,2,2,1,2,3,3,3,4,4,6,2,2,1,2,101,5,5
132,291464353,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,12,2,3,1,1,2,2,27,5,4
133,259674511,1,UpperClass,Refused/DNt,TrustWebOnly,0,0,0,0,3,2,2,2,3,3,1,19,9,10,3,2,2,2,90,5,4
134,376909012,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,2,3,0,2,4,3,1,3,2,52,1,2
135,276638390,3,UpperMiddleClass,Center,TrustTrad,0,0,0,1,1,1,2,1,2,2,3,0,2,3,3,1,1,2,81,4,3
136,470740436,3,UpperMiddleClass,Center,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,16,2,7,3,1,3,2,42,5,8
137,276127829,1,UpperClass,Refused/DNt,Other,0,0,1,0,3,1,2,2,3,3,1,18,2,5,2,1,3,3,81,5,6
138,313496663,3,WorkingClass,Center,TrustTrad,0,0,0,1,2,2,2,1,1,1,3,5,3,7,4,2,2,1,39,2,4
139,335819499,2,MiddleClass,FarRight,TrustNone,0,0,0,0,2,2,2,2,2,2,2,1,9,98,2,2,2,3,38,5,7
140,346859682,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,2,2,1,2,1,3,13,2,2,3,1,3,3,38,5,7
141,431746556,3,WorkingClass,Left,TrustTrad,0,0,1,0,1,1,2,2,3,3,3,14,2,9,3,1,2,2,32,5,6
142,460865709,3,WorkingClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,4,5,2,1,2,1,2,28,2,1
143,322920833,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,2,2,1,2,2,3,12,4,6,2,1,1,3,12,5,1
144,344690451,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,1,1,2,1,3,7,4,2,3,1,3,3,52,4,8
145,424458655,3,MiddleClass,Right,TrustAll,0,0,0,1,1,1,1,1,1,1,3,9,2,8,3,1,3,2,52,5,1
146,389072665,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,12,3,4,1,1,2,2,81,3,6
147,123773551,1,WorkingClass,Left,TrustAll,0,0,0,1,1,2,2,2,2,2,1,1,9,97,1,1,9,2,63,1,1
148,285905529,3,MiddleClass,Refused/DNt,TrustNone,0,0,0,0,2,2,1,2,1,3,3,12,3,1,2,1,1,3,81,4,6
149,168421409,3,MiddleClass,Left,TrustNone,0,0,0,1,1,2,2,1,3,1,3,0,1,4,3,1,9,3,99,5,7
150,158359335,2,WorkingClass,Left,TrustNone,1,0,0,0,2,2,2,2,3,1,2,4,3,98,2,1,1,2,101,2,7
151,147646908,3,LowerMiddle,Right,TrustAll,1,0,0,1,2,2,1,2,1,1,3,0,5,7,3,1,1,2,58,6,4
152,466173838,1,LowerMiddle,FarRight,TrustNone,1,0,0,1,2,3,1,2,3,1,1,0,2,8,4,1,2,3,94,4,4
153,334999158,3,MiddleClass,Right,TrustAll,0,0,1,0,2,2,1,1,2,1,3,1,4,9,1,1,1,2,62,4,8
154,250572917,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,2,2,1,3,3,5,4,2,2,1,1,2,53,4,2
155,314380957,3,WorkingClass,Center,TrustAll,0,0,0,1,2,2,2,1,3,1,3,15,2,4,4,1,3,1,89,2,4
156,458485308,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,2,2,1,3,10,2,9,3,1,3,2,65,4,1
157,294543372,1,MiddleClass,Left,TrustNone,1,0,0,0,2,3,2,1,2,3,1,1,2,10,2,1,1,1,32,6,4
158,472859768,3,LowerMiddle,Left,TrustAll,0,0,0,0,2,1,1,3,2,1,3,19,4,6,2,1,2,3,68,4,2
159,162561007,3,MiddleClass,Left,TrustAll,0,0,0,1,2,1,2,3,2,1,3,2,9,6,2,1,3,2,100,5,7
160,387178921,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,2,2,1,2,3,3,0,1,3,1,2,3,3,64,3,8
161,468840402,2,LowerMiddle,Center,TrustNone,0,0,0,0,1,2,2,1,2,3,2,14,3,7,1,2,2,3,92,4,8
162,291595979,1,WorkingClass,Refused/DNt,TrustNone,0,0,0,0,2,2,3,2,3,3,1,3,9,10,3,1,9,3,62,6,6
163,395971169,3,UpperMiddleClass,Left,TrustAll,0,0,1,1,1,2,2,2,2,1,3,12,3,98,2,1,3,2,50,3,8
164,190683242,1,MiddleClass,Right,TrustTrad,0,0,0,1,2,1,2,1,2,2,1,3,3,4,3,1,3,1,69,5,2
165,371404337,2,MiddleClass,Refused/DNt,TrustNone,0,0,0,0,2,2,2,2,2,2,2,2,4,98,1,2,1,2,92,3,4
166,26328302,3,WorkingClass,Center,TrustNone,0,0,0,1,2,2,2,1,3,1,3,18,3,1,3,2,9,2,59,4,8
167,169105477,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,2,1,2,1,3,3,2,4,1,1,3,3,63,6,3
168,320143033,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,2,1,3,2,3,11,1,6,1,1,2,2,38,1,6
169,353739038,3,UpperMiddleClass,Right,TrustTrad,0,0,0,1,1,1,3,1,1,1,3,11,4,3,3,1,3,1,77,2,3
170,175443143,1,WorkingClass,Refused/DNt,Other,0,0,0,1,2,2,2,2,3,3,1,14,2,98,1,1,1,2,76,6,6
171,187348559,4,WorkingClass,Center,TrustAll,1,0,0,0,2,2,2,2,2,2,4,11,2,98,4,1,3,2,51,2,5
172,350264919,4,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,2,4,12,2,98,3,1,9,2,81,5,2
173,484523962,1,MiddleClass,Refused/DNt,TrustAll,0,0,0,1,1,2,1,2,3,1,1,2,2,98,3,1,3,2,79,6,7
174,298217265,1,MiddleClass,Right,Other,0,0,0,1,2,2,1,1,3,2,1,3,3,1,1,1,3,2,91,2,1
175,420533550,3,MiddleClass,Center,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,15,2,4,3,2,3,3,38,4,1
176,297802440,3,MiddleClass,Left,TrustNone,0,0,0,1,1,2,1,2,1,1,3,11,1,6,2,1,2,1,65,4,2
177,296089118,3,UpperMiddleClass,Center,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,14,2,4,4,2,3,3,30,2,2
178,485916377,3,MiddleClass,Right,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,0,3,6,2,1,2,1,64,5,6
179,254450855,3,LowerMiddle,Left,TrustTrad,0,0,0,0,3,2,1,1,2,1,3,2,5,8,2,1,3,2,91,4,7
180,144104840,1,LowerMiddle,Left,TrustAll,1,0,0,0,2,2,2,1,3,2,1,1,2,3,2,1,1,1,98,2,7
181,37126485,3,UpperClass,Left,TrustTrad,0,0,0,0,1,1,1,2,2,1,3,12,2,4,4,2,3,2,36,4,7
182,420304864,3,MiddleClass,Center,TrustWebOnly,0,0,0,1,2,1,1,2,2,1,3,4,5,7,4,1,3,1,28,4,4
183,128758418,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,2,1,1,2,3,4,2,6,2,1,2,1,65,3,2
184,456469555,3,MiddleClass,Center,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,19,5,6,3,1,3,3,62,5,7
185,244798440,1,UpperClass,FarLeft,TrustNone,0,0,0,0,3,2,3,3,3,3,1,2,2,9,3,2,9,2,99,6,7
186,186296753,1,MiddleClass,Left,TrustNone,0,0,0,1,3,2,1,2,1,1,1,16,3,3,4,1,2,2,83,2,4
187,67443915,2,MiddleClass,Right,TrustTrad,0,0,0,1,1,1,1,2,1,1,2,12,4,3,2,1,3,2,81,3,1
188,18310190,3,UpperClass,Left,TrustNone,0,0,1,1,1,2,2,1,2,1,3,15,4,4,4,1,3,3,28,2,7
189,255814735,3,UpperMiddleClass,Right,TrustTrad,0,0,0,1,2,1,2,1,2,1,3,19,3,10,4,2,3,1,27,4,1
190,43763552,1,WorkingClass,Refused/DNt,TrustNone,0,0,0,0,2,2,2,2,3,3,1,17,9,98,3,1,9,3,99,2,5
191,129108401,2,UpperMiddleClass,Center,TrustTrad,0,0,0,1,2,1,2,1,2,1,2,0,2,98,1,1,3,1,51,5,3
192,302971004,1,WorkingClass,FarRight,TrustNone,0,0,0,0,3,3,2,2,3,3,1,2,9,98,2,2,2,2,90,6,6
193,344084785,3,UpperMiddleClass,Right,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,10,2,2,2,1,3,2,75,5,2
194,445029370,1,WorkingClass,Refused/DNt,TrustWebOnly,1,0,0,0,2,3,2,2,3,3,1,3,3,5,2,1,3,3,97,4,5
195,153430856,3,LowerMiddle,FarRight,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,6,4,9,2,1,1,1,21,1,1
196,451329599,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,2,3,5,3,3,2,2,1,2,63,4,2
197,467245467,2,MiddleClass,Center,TrustWebOnly,0,0,0,1,2,1,2,1,2,1,2,15,4,6,3,2,3,2,87,3,6
198,206184505,3,WorkingClass,Right,TrustNone,1,0,0,1,2,2,2,1,2,1,3,2,1,3,3,2,1,2,92,3,7
199,-24028085,3,WorkingClass,FarRight,TrustTrad,0,0,0,1,3,1,2,1,2,1,3,2,2,98,3,1,3,3,56,2,2
200,149894176,3,MiddleClass,Left,TrustNone,0,0,0,1,2,2,2,1,1,1,3,3,1,10,3,1,3,2,61,2,4
201,256208867,1,WorkingClass,Refused/DNt,TrustNone,0,0,0,0,3,2,3,2,2,1,1,9,1,98,1,2,2,3,97,2,6
