,Unnamed: 0,d73_4,qa10_3,qd5_14,qa4a_5,qa2a_4,polintr_4,qa2a_5,d40b,qa6b_3,qa13_2,qa4a_4,d40a_r,d40abc_r3,qa4a_9,qa4a_13,qa2a_6,d70,qa3a_11,qa16,sd22_1,d8,d40b_r,qa19,d62_4,polintr_1,qd5_6,qa6b_1,d62_2,netuse,qa3a_17,qc1a_4,d8r2,d78,d9r,qd5_15,d40c,d40abc_r1,sd22t7,d40abc_r4,qa4a_12,qa4a_17,d71_2,qc1a_1,qa1a_4,qa18_5,qa4a_18,qc1a_3,qa17,qd5_2,d62_1,sd22t3,qa3a_4,d71_1,qa4a_15,d9,d40abc_r2,qd5_1,qd1,qa2a_1,qd8_3,qa14,qa4a_1,sd22t8,qa1a_5,qa10_2,qa3a_3,qa4a_19,qa3a_10,qa7_1,qa3a_2,qa3a_5,qd5_16,qa3a_8,qa3a_14,d73_2,d40c_r,d8r1,qd5_12,sd22t6,qd5_9,d73_1,qa4a_16,d62_3,qa3a_16,qa13_1,qd5_10,qa8_1,qa6b_10,qd5_8,qa2a_3,qa1a_6,qa3a_15,qa4a_6,d71_3,sd22t2,qa1a_2,qc1a_2,qd5_13,qa18_3,qd8_4,qd8_1,qa3a_18,qa3a_9,d40a,qa6b_8,polintr_3,qa3a_13,d7,qa4a_11,d60,sd22t4,qd5_7,qa3a_6,qd2,qa4a_3,polintr_2,qa2a_2,qa4a_14,qa2a_7,qa1a_3,qa10_1,qd5_5,d25,sd22t5,qa3a_1,qd5t,qd8_2,qa1a_1,sd22_2,qd5_11,qa3a_12,qa8_2,qd5_4,sd22t1,d7r,qa18_1,qd5_3,d62t,qa18_2,d73_3,qa4a_7,sd18a,qa4a_10,qa7_2,qa1a_7,qa4a_2
10,10,2.0,4,0,1,2,1,4,1.0,2,1,0,1.0,0.0,0,0,3,3,1,4,3,13,0.0,3,6,0,0,2,6,6,0,4,2,3,4,0,0.0,0.0,1,0.0,0,0,3,1,5,5,0,4,4,0,6,1,0,3,0,91,0.0,0,3,3,5,5,0,0,3,3,0,0,0,2,0,0,0,0,0,2.0,0.0,1,0,1,0,3.0,0,6,0,1,0,3,3,0,2,3,0,0,3,1,4,1,0,5,5,1,0,0.0,3.0,2,0,1,0,0,1,0,0,0,4,0,0,2,0.0,4,2,4,1,1.0,0,0,1,5,4,3,0,0,2,0,0,1,1,0,1,1,2.0,0,3,0,2,4,0
11,11,1.0,2,0,0,3,0,3,1.0,1,2,0,4.0,0.0,0,0,1,1,0,3,2,98,0.0,6,1,1,0,2,7,1,0,3,2,3,8,0,1.0,0.0,0,1.0,0,0,2,1,2,3,0,1,2,1,1,0,0,1,0,264,0.0,1,3,3,4,4,0,0,1,3,0,0,0,1,0,0,0,0,0,1.0,0.0,5,0,1,0,2.0,0,1,0,4,0,2,1,0,1,3,0,0,2,0,2,1,0,2,2,2,0,0.0,4.0,1,0,0,12,0,3,0,0,0,3,1,1,1,0.0,3,2,2,1,3.0,0,0,1,2,2,1,0,0,1,0,1,3,3,0,1,1,2.0,0,1,0,1,2,0
12,12,1.0,2,0,0,3,0,1,0.0,1,2,0,2.0,0.0,0,1,3,2,0,1,2,24,1.0,1,1,1,0,1,1,1,0,2,4,2,16,0,0.0,1.0,0,0.0,0,0,1,2,2,2,0,3,2,1,1,0,1,1,0,416,0.0,0,2,1,3,4,0,0,1,1,0,0,0,1,0,0,0,0,1,1.0,0.0,10,0,1,1,1.0,0,1,0,4,0,2,1,0,1,3,0,0,2,0,2,2,0,2,1,2,0,0.0,2.0,1,0,0,8,0,3,1,1,0,2,0,0,1,0.0,1,1,2,1,3.0,0,0,1,1,2,2,0,0,1,0,1,1,1,1,1,3,2.0,0,2,0,1,2,0
13,13,1.0,3,0,0,1,0,1,1.0,1,2,0,2.0,0.0,0,0,3,2,1,3,1,88,1.0,1,6,0,0,2,1,1,0,4,3,3,4,0,0.0,0.0,1,0.0,0,0,3,1,3,4,1,2,5,0,1,0,0,1,0,351,0.0,0,2,3,3,4,0,0,1,3,0,0,0,3,0,1,0,0,0,2.0,0.0,5,0,0,0,1.0,0,1,0,5,0,2,2,0,3,2,0,0,3,0,5,3,0,2,2,2,0,0.0,2.0,1,0,0,1,0,2,1,0,0,2,1,1,2,1.0,2,3,2,1,1.0,0,0,1,1,2,1,0,0,2,0,1,1,3,1,1,4,2.0,0,3,0,1,2,0
14,14,3.0,4,0,0,3,0,2,0.0,2,1,0,4.0,0.0,0,0,2,3,1,1,2,109,0.0,1,6,0,0,2,6,6,0,1,2,3,8,0,0.0,1.0,0,0.0,0,0,2,2,4,4,0,1,3,1,1,1,0,3,0,213,0.0,1,2,1,2,3,0,0,3,3,0,0,0,2,0,0,0,0,1,4.0,0.0,10,0,1,0,2.0,0,1,0,2,0,2,2,0,3,3,0,0,3,0,3,1,0,1,4,2,0,0.0,2.0,1,0,0,1,0,1,1,0,1,2,1,1,2,0.0,2,2,2,0,2.0,0,0,0,3,3,2,0,0,2,0,1,1,2,1,1,1,4.0,0,3,0,2,3,0
15,15,1.0,3,0,0,1,0,1,0.0,1,1,0,2.0,0.0,0,1,1,1,1,1,1,17,0.0,1,5,1,0,1,1,1,0,1,3,2,12,0,1.0,0.0,0,1.0,0,0,2,2,1,2,0,2,3,1,1,0,0,2,0,100,0.0,0,3,1,3,4,0,0,2,1,0,0,0,1,0,1,0,0,1,1.0,0.0,6,0,0,0,1.0,0,1,0,4,0,1,1,1,1,2,0,0,1,0,3,1,0,2,1,2,0,0.0,4.0,1,0,0,9,0,3,0,1,0,3,0,1,1,0.0,1,2,3,0,2.0,0,0,1,1,2,2,0,1,1,0,1,2,1,1,1,3,2.0,1,1,0,1,2,0
16,16,1.0,2,0,0,4,0,2,1.0,1,1,0,3.0,0.0,0,0,3,2,0,2,1,7,0.0,1,6,0,1,2,1,1,0,2,2,1,6,0,0.0,0.0,0,1.0,0,0,2,2,1,2,0,2,3,1,1,0,0,1,1,110,0.0,0,3,3,3,4,0,0,1,3,0,0,0,1,0,0,0,0,0,1.0,0.0,2,0,0,1,1.0,0,1,0,4,0,1,1,1,3,3,0,0,1,0,2,1,0,2,1,1,0,1.0,2.0,1,0,0,10,0,3,1,1,0,2,0,0,2,0.0,3,3,2,0,1.0,1,0,1,1,2,2,0,0,2,0,1,3,4,1,1,3,2.0,0,2,0,1,3,0
17,17,1.0,3,0,0,1,0,1,1.0,1,1,0,2.0,0.0,1,0,1,2,0,1,1,13,2.0,6,6,0,0,2,1,1,0,1,4,3,6,0,2.0,0.0,0,0.0,0,0,1,2,4,2,0,4,3,0,1,0,0,2,0,-77,0.0,0,2,3,2,2,0,0,2,2,0,0,0,1,0,0,0,0,1,1.0,1.0,9,0,1,0,2.0,0,2,0,3,1,1,1,0,2,2,0,0,2,0,3,1,0,1,2,2,0,0.0,2.0,1,0,0,2,1,3,0,0,0,2,0,0,1,0.0,1,3,1,1,3.0,0,1,1,2,2,1,0,0,1,0,1,1,1,1,1,3,1.0,0,2,0,1,2,0
18,18,1.0,2,0,0,3,0,2,2.0,1,2,0,3.0,0.0,1,0,3,1,1,1,1,107,0.0,1,5,0,0,2,1,1,0,1,2,2,11,0,2.0,1.0,0,0.0,0,0,2,3,2,2,0,4,2,1,1,0,0,1,0,373,0.0,0,3,1,2,4,0,0,2,1,0,0,0,1,0,1,0,0,0,1.0,0.0,98,0,1,0,4.0,0,1,0,4,0,2,1,1,4,3,0,0,2,0,2,3,0,2,2,1,0,0.0,2.0,1,0,0,7,1,7,1,0,0,2,0,1,1,0.0,1,2,4,1,2.0,0,1,1,2,2,3,0,0,1,0,1,1,4,0,1,3,4.0,0,2,0,1,2,0
19,19,4.0,2,0,0,3,1,2,1.0,1,5,0,2.0,0.0,0,0,3,3,0,4,3,37,0.0,3,1,0,0,2,7,1,0,4,3,3,11,0,1.0,1.0,1,1.0,0,0,3,1,2,1,0,4,5,1,1,0,0,2,0,456,0.0,0,3,3,2,6,0,0,2,2,0,0,0,2,0,0,0,0,0,2.0,0.0,3,0,0,0,2.0,0,6,0,1,0,2,1,0,2,4,0,0,3,0,4,2,0,2,2,2,0,0.0,1.0,2,0,1,0,1,3,0,0,0,3,0,0,3,1.0,3,3,4,1,2.0,0,0,1,1,2,1,0,0,1,0,1,1,1,0,1,3,2.0,0,3,0,1,2,0
20,20,1.0,3,0,0,1,0,2,1.0,1,2,0,2.0,0.0,1,0,2,4,0,1,2,28,0.0,4,1,0,1,2,1,1,0,2,2,2,4,0,1.0,0.0,0,0.0,0,0,2,2,5,4,0,3,2,0,2,0,0,1,0,384,0.0,0,3,1,3,1,0,0,2,2,0,0,0,1,1,0,0,1,0,1.0,2.0,9,0,1,0,4.0,0,1,0,4,0,1,3,0,2,3,0,0,3,0,1,2,0,1,3,3,0,0.0,2.0,1,0,0,10,0,2,0,0,0,2,0,0,1,0.0,1,1,2,1,1.0,0,0,1,1,3,2,0,1,1,0,1,2,3,0,1,3,2.0,0,3,0,1,2,1
21,21,2.0,3,0,1,3,1,2,0.0,1,1,0,2.0,0.0,0,0,1,3,1,2,1,-19,0.0,4,1,0,0,2,6,6,0,4,2,3,2,0,0.0,0.0,0,0.0,0,0,3,2,3,4,0,4,4,1,1,1,0,4,0,389,0.0,0,3,3,1,5,0,0,5,4,0,0,0,1,0,1,0,0,0,2.0,0.0,11,0,1,0,3.0,0,1,0,2,0,3,3,0,2,3,0,0,4,1,4,2,0,2,1,2,0,0.0,2.0,3,0,0,0,0,2,0,0,0,2,1,1,2,0.0,3,3,4,0,1.0,1,0,0,4,4,2,0,0,3,0,1,1,3,1,1,4,2.0,1,4,1,1,3,0
22,22,1.0,2,0,0,3,0,1,1.0,1,5,1,4.0,0.0,0,0,3,2,0,2,1,27,0.0,1,3,0,0,2,3,1,0,2,1,4,7,0,0.0,0.0,0,0.0,0,0,2,1,2,2,0,2,2,1,1,0,0,1,1,432,1.0,0,2,1,1,4,0,0,2,2,0,0,0,1,0,0,0,1,0,0.0,1.0,6,0,0,0,2.0,1,1,0,3,0,1,1,0,2,3,0,0,3,0,3,1,0,5,1,2,0,999.0,2.0,1,0,0,3,0,3,0,0,0,2,0,0,3,0.0,2,2,1,1,2.0,0,0,1,1,2,2,0,0,1,0,1,1,3,0,1,1,1.0,0,1,0,1,1,0
23,23,2.0,4,0,0,1,0,2,1.0,1,2,0,2.0,0.0,0,0,1,2,0,2,2,56,0.0,3,2,0,0,2,6,1,0,3,2,1,3,0,0.0,1.0,1,0.0,0,0,3,1,5,4,0,1,4,1,2,0,0,1,0,323,0.0,0,2,3,4,4,0,0,2,3,0,0,0,1,0,0,0,0,0,0.0,1.0,3,0,1,0,1.0,0,6,0,1,0,1,2,0,3,4,0,0,2,0,4,1,0,2,1,3,0,0.0,2.0,1,0,0,8,1,3,0,0,1,3,0,1,2,0.0,3,4,4,1,2.0,0,0,0,2,1,3,0,0,1,0,1,1,1,1,1,1,2.0,0,2,0,1,3,1
24,24,1.0,2,0,0,3,0,2,1.0,1,2,0,2.0,0.0,0,0,3,1,1,2,2,37,0.0,1,1,0,0,1,1,1,0,2,4,3,7,0,0.0,0.0,0,0.0,0,0,2,2,1,1,0,2,2,1,1,0,0,2,0,11,0.0,0,2,1,3,3,0,0,2,2,0,0,0,1,0,0,0,0,0,2.0,0.0,9,0,0,0,2.0,0,1,0,4,0,1,1,0,1,3,0,0,3,0,2,2,0,2,2,2,0,0.0,2.0,1,0,0,2,0,3,0,1,0,2,0,0,1,0.0,1,2,2,0,3.0,1,0,1,2,1,2,0,0,1,0,1,2,2,1,1,3,1.0,0,2,0,1,2,0
25,25,1.0,3,0,0,3,1,1,0.0,2,1,0,2.0,0.0,0,0,3,3,0,1,2,16,0.0,1,1,0,0,2,1,1,0,2,3,3,4,0,0.0,0.0,0,0.0,0,0,2,1,2,1,0,2,5,1,1,0,0,2,0,80,0.0,0,3,3,2,4,0,0,2,1,0,0,0,1,0,1,0,0,0,1.0,0.0,9,0,0,0,2.0,0,5,0,4,1,1,1,0,1,3,0,0,3,0,4,1,0,1,4,2,0,0.0,2.0,2,0,0,8,0,3,0,0,0,2,1,0,2,0.0,3,3,3,0,2.0,0,0,1,2,1,3,0,0,1,0,1,1,2,0,1,3,2.0,1,1,0,2,3,0
26,26,1.0,1,0,0,3,0,2,1.0,1,2,0,2.0,0.0,0,1,1,2,0,2,2,15,0.0,1,6,0,0,2,1,1,0,1,3,2,7,0,0.0,0.0,0,0.0,1,0,2,3,1,2,0,2,3,1,1,0,0,1,0,125,0.0,0,2,1,3,4,0,0,2,1,0,0,0,1,0,0,0,0,1,1.0,0.0,5,0,1,0,1.0,0,1,0,4,0,2,1,1,1,3,0,0,3,0,3,2,0,1,1,3,0,1.0,4.0,1,0,0,1,1,3,0,1,0,3,0,0,1,0.0,1,2,2,1,2.0,0,0,1,2,2,1,0,0,1,0,1,2,3,1,1,4,2.0,0,2,0,1,2,0
27,27,1.0,1,0,0,2,0,2,0.0,2,2,0,1.0,0.0,0,0,3,1,1,2,1,34,0.0,1,6,1,1,2,7,1,0,3,8,3,7,0,0.0,0.0,0,1.0,0,0,3,2,2,2,0,1,2,1,3,0,0,2,0,164,0.0,0,3,1,3,5,0,0,2,2,0,0,0,1,0,0,0,0,0,1.0,2.0,10,0,1,0,0.0,0,1,0,1,0,1,2,0,2,3,0,0,3,0,2,1,0,5,1,2,0,0.0,2.0,1,0,0,9,0,3,0,0,0,3,0,1,1,0.0,1,2,4,1,3.0,0,1,0,3,1,2,0,0,1,0,1,1,4,0,1,4,0.0,0,2,0,1,2,0
28,28,1.0,3,0,0,2,0,3,0.0,1,2,0,2.0,0.0,0,0,3,4,1,3,2,30,0.0,3,7,0,0,1,1,1,0,2,4,2,22,0,0.0,1.0,0,0.0,0,0,2,3,2,4,0,2,3,1,1,0,0,2,0,-36,0.0,0,3,3,1,4,0,0,2,2,0,0,0,1,0,1,0,1,0,1.0,0.0,5,0,1,1,1.0,0,1,0,2,0,1,2,0,2,3,0,0,2,0,3,1,0,1,2,2,0,0.0,4.0,2,0,0,6,0,1,0,0,0,2,0,0,1,0.0,2,2,2,1,2.0,0,0,0,2,2,2,0,0,2,0,1,1,1,0,1,2,2.0,0,3,0,1,3,0
29,29,3.0,2,0,0,3,0,2,0.0,1,2,0,3.0,0.0,0,0,1,2,1,1,1,12,0.0,3,7,1,0,2,6,1,0,2,2,3,5,0,0.0,0.0,0,0.0,0,0,2,4,2,1,0,3,2,0,6,0,0,1,0,237,0.0,0,1,1,2,4,0,0,2,3,0,0,0,2,0,0,0,0,0,1.0,0.0,9,0,0,0,1.0,0,2,0,4,0,2,3,1,3,1,0,0,3,0,1,1,0,4,5,2,0,0.0,2.0,1,0,0,1,0,2,1,0,0,2,1,0,3,0.0,3,2,2,1,2.0,0,0,1,3,2,2,0,0,1,0,1,1,3,0,1,1,1.0,0,3,0,1,2,0
30,30,1.0,2,0,0,2,0,1,1.0,1,2,0,2.0,0.0,0,1,3,2,1,1,2,32,1.0,1,1,0,0,1,6,1,0,2,3,2,8,0,1.0,0.0,0,0.0,0,0,2,2,2,1,0,2,2,1,1,0,1,2,0,-24,0.0,0,2,3,2,4,0,0,1,1,0,0,0,1,0,0,0,0,0,1.0,0.0,9,0,0,0,1.0,0,1,0,2,0,1,1,0,1,2,0,0,3,0,3,2,0,1,2,1,0,1.0,4.0,1,1,0,1,0,3,0,0,0,3,1,0,1,0.0,1,3,2,1,2.0,0,0,1,1,2,2,0,1,1,0,1,1,1,1,1,4,2.0,0,2,0,1,2,0
31,31,1.0,2,0,1,3,0,2,1.0,1,1,0,2.0,0.0,0,1,3,2,0,1,1,31,0.0,3,1,0,0,2,6,2,0,2,3,1,7,0,1.0,0.0,0,1.0,0,0,3,2,2,1,0,1,3,1,1,0,0,2,0,289,0.0,0,2,3,2,4,0,0,1,3,0,0,0,1,0,0,0,0,0,1.0,0.0,3,0,1,0,3.0,0,1,0,3,0,1,2,0,1,3,0,0,2,0,3,1,0,2,1,3,0,1.0,1.0,1,0,0,15,0,3,0,0,0,2,0,0,1,0.0,2,1,2,0,3.0,0,0,1,2,2,1,0,0,2,0,1,1,2,0,1,2,2.0,0,1,0,1,2,0
32,32,1.0,2,0,0,3,0,2,0.0,1,2,0,2.0,1.0,1,0,3,1,1,2,2,23,0.0,3,5,0,0,2,1,1,0,2,4,2,6,0,0.0,0.0,0,1.0,0,0,2,2,1,1,0,2,2,0,5,0,0,1,0,481,0.0,0,3,1,3,4,0,0,2,3,0,0,0,1,0,0,0,0,1,1.0,0.0,5,0,0,1,1.0,0,1,0,4,0,1,1,0,1,3,0,0,2,0,3,2,0,1,2,1,0,0.0,3.0,1,0,0,1,1,3,0,1,0,2,0,1,1,0.0,1,2,2,0,2.0,0,0,1,2,2,2,0,1,1,0,1,1,4,1,1,3,1.0,0,3,1,1,2,0
33,33,1.0,3,0,0,3,1,1,1.0,1,1,0,3.0,0.0,1,0,2,1,1,3,2,90,0.0,3,6,0,0,2,6,1,0,2,2,5,6,0,0.0,0.0,0,0.0,0,0,2,3,3,3,0,2,4,1,1,0,0,1,1,251,0.0,0,3,3,2,4,0,0,2,3,0,0,0,1,0,0,0,0,0,1.0,1.0,9,0,0,0,2.0,0,1,0,2,1,2,1,1,1,3,0,0,2,0,3,2,0,1,2,5,0,0.0,2.0,1,0,0,2,0,1,0,0,0,3,0,1,2,0.0,1,2,2,0,2.0,0,0,1,2,1,1,0,0,1,0,1,1,2,1,1,1,2.0,0,2,0,1,2,0
34,34,1.0,2,0,0,3,0,1,1.0,1,1,0,2.0,0.0,0,0,3,3,0,2,2,23,1.0,2,1,0,1,1,1,1,0,2,4,1,8,0,0.0,0.0,0,0.0,0,0,2,1,2,2,0,2,3,0,1,0,0,1,0,181,1.0,0,3,3,3,4,0,0,3,3,0,0,0,1,0,0,0,1,0,1.0,0.0,10,0,0,1,1.0,0,1,0,4,0,1,1,1,1,3,0,0,2,0,2,1,0,2,2,3,0,0.0,2.0,1,0,0,2,0,3,0,0,0,3,0,1,1,0.0,1,3,2,1,3.0,1,0,1,2,2,1,0,0,1,0,1,1,3,1,1,3,2.0,0,2,0,1,2,0
35,35,1.0,2,0,0,1,0,2,0.0,1,2,0,3.0,0.0,0,1,3,2,0,1,2,13,0.0,1,5,0,0,2,1,1,0,3,2,5,6,0,0.0,0.0,0,0.0,0,0,3,2,4,4,0,2,5,1,1,0,0,2,0,436,0.0,0,2,1,2,4,0,0,4,3,1,0,0,1,0,0,0,0,0,2.0,0.0,2,0,1,0,3.0,0,6,0,3,0,2,2,1,2,3,0,0,2,0,2,2,0,1,3,2,0,0.0,4.0,2,0,0,0,1,2,1,0,0,3,0,1,3,0.0,1,1,2,1,2.0,0,0,0,1,3,2,0,0,2,0,1,1,1,0,1,1,2.0,0,2,0,3,2,0
36,36,1.0,3,0,0,3,0,2,2.0,1,2,0,2.0,0.0,0,0,3,2,0,1,2,32,0.0,2,5,0,0,2,1,6,0,2,3,3,10,0,1.0,0.0,0,1.0,0,0,2,2,2,3,0,1,2,0,1,0,0,1,0,450,0.0,1,2,3,1,4,0,1,2,3,0,0,0,1,0,0,0,0,0,1.0,0.0,2,0,0,0,1.0,1,2,0,4,0,2,2,0,2,3,0,0,1,0,3,2,0,1,1,2,0,0.0,2.0,1,0,0,1,0,2,0,0,0,2,0,1,1,0.0,1,1,2,1,2.0,0,0,0,2,2,1,0,1,1,0,1,1,2,1,1,3,2.0,0,1,0,1,2,0
